IntroductionID:ID,Introduction,:LABEL
intro_0015,这家餐厅开业于1992年，由Giovanni和他的妻子Marilyn Annecchini共同经营。餐厅位于一座海边的古老的别墅内，周围种满了花花草草，装潢以汉普顿风格为主，餐厅也成了悉尼海滩的一景。 餐厅主要提供意大利美食，尤其是撒丁岛的特色美食，采用当地新鲜食材，用现代的意大利烹饪技术，烹饪出无与伦比的美味。,Introduction
intro_0016,位于悉尼的香格里拉大酒店内，获奖无数。TAA National Awards for Excellence将其评为最佳餐厅。餐厅内的大落地窗让顾客在用餐的同时欣赏到悉尼出色的港景，推荐品尝一下他们家的The Macleay Valley Suckling Pig、The Riverina Lamb等。,Introduction
intro_0017,这家餐厅主营马来西亚风味美食及中餐，位于悉尼市中心，饭点时总是人头攒动。他们家的叻沙味道非常正宗，熬得入味且热辣的汤底，越喝越上瘾。另外，海南鸡饭也很赞，鸡肉非常嫩。,Introduction
intro_0018,一家经典的悉尼咖啡馆，专门提供健康营养的美味早餐，服务生效率高态度好，菜品多样化，是享受早午餐的好去处。,Introduction
intro_0019,Mantecato是悉尼的一家正宗的意大利餐厅，位于White Bay附近和Balmin后街。餐厅提供一流的意大利美食和酒水。厨师是一个很有做菜天赋的年轻男子，做菜很有激情。同一条街还有该店的姐妹店“Rosso pomodoro”，提供悉尼最好的披萨。,Introduction
intro_0020,Phillip's Foote Restaurant坐落在岩石区的中心地带，位于一幢历史建筑内，带有优雅的室外用餐庭院。这里供应鲜嫩的牛排、沙拉和甜点，还可以自己动手烤肉，享受澳式BBQ的乐趣。餐馆环境轻松氛围友好，备有种类丰富价格合理的酒类饮料。,Introduction
intro_0021,这家餐厅在悉尼人气很高，餐厅装潢很大气典雅，服务员态度也十分热情。主要提供希腊美食，不论是传统的烤羊排还是海鲜，味道都无可挑剔。,Introduction
intro_0022,这家餐厅位于悉尼首屈一指的餐饮区Surry Hills的中心，为客人提供日式“izakaya”餐饮风格的体验。 餐厅结合当地新鲜农产品和令人惊叹的当代烹饪技巧，打造出全新的美食。,Introduction
intro_0023,The Tea Room QVB位于悉尼的George大街，由Manuel Spinola于1997年创办，2006年重新装修，并且成为了悉尼最美丽的餐饮场所之一。他们家的使命是通过食物、葡萄酒、产品和场地的独特品质来提升客户体验。厨师长Rob Crichton坚持选用新鲜的澳大利亚时令食材，除了正餐外还有传统的早茶和下午茶。,Introduction
intro_0024,这家意式餐厅位于Bondi区，装饰温馨舒适，总是人头攒动。餐厅主打传统意式薄底披萨和意面，口味选择颇丰，需要提醒的是，店主只收现金哦。,Introduction
intro_0025,环境简约复古，采用伊斯坦布尔独特的Meyhanes经营方式，提供土耳其风味美食，使用新鲜的应季食材，菜单也会随季节而变化，菜品卖相精致，味道也非常正宗。,Introduction
intro_0026,餐厅注重肉的品质，提供世界一流农产品，比如Monte牛肉，可以满足挑剔的客人。餐馆还有很多不错的红酒可以选择，高层货架上的红酒配上精心烹制的牛排，足以令你尽情享受。,Introduction
intro_0027,Mamak马来西亚餐厅，位于悉尼的Railway大街。最初它只是一个由三位挚友Alan、Clement和Julian在悉尼唐人街设立的夜市摊，2007年，三人在悉尼市中心创办了餐厅。一年后，便被Sydney Morning Herald的美食指南评为“Favourite Asian”。2010年10月，由于反响热烈，他们在Chatswood开设了分店，也就是这间餐厅。,Introduction
intro_0028,这是家葡萄牙风格的咖啡厅，主打小食点心。工作人员都很可爱，服务很贴心，上菜很快。在这里用餐仿佛是一次葡萄牙之旅。,Introduction
intro_0029,从名字就能看出，这是一家德国风味啤酒餐厅，它将著名的巴伐利亚式服务和友好的家庭氛围完美融合在一起。你不仅可以吃到正宗的德国菜肴，品尝多种带龙头的纯正巴伐利亚啤酒，现场还有Live Music为你助兴。,Introduction
intro_0030,Toriciya是悉尼人气超高的日本料理餐厅，于1991开业，当时是悉尼第一家日式酒吧。这里有非常正宗的日式美味，以及来自日本的清酒和烧酒。,Introduction
intro_0031,这是一家米其林级别的港式茶餐厅，开在墨尔本的中央商务区。该店配有多名资深香港大厨，为顾客们提供最正宗的港式点心。点餐极为方便，桌子上就有点餐系统，省去了排队的烦恼。上菜很快，食物量足，吸引了许多国人和当地市民。,Introduction
intro_0032,Jack B. Nimble是一家追求品质的咖啡店，虽然店铺不大，可是环境优雅，用餐氛围舒适，服务周到，用料也相当实在。,Introduction
intro_0033,餐厅主营澳洲风味美食，曾被《悉尼先驱晨报》的美食指南推荐过，且获得过两顶厨师帽，是澳大利亚非常有影响力的餐厅之一，餐厅内饰用黑色的铁架进行装饰，搭配深棕色的家具和墙面，营造出怀旧复古的氛围。,Introduction
intro_0034,Banana Leaf Thai Restaurant是一家主营泰国菜的餐厅，店内很有泰国风情，墙上贴满了许多泰国的电影海报。菜品看起来都很新鲜，味道很正宗。餐厅的服务贴心，是一个朋友聚餐的好去处。,Introduction
intro_0035,风靡悉尼的休闲咖啡馆，它的特别之处在于可以为客人量身定做属于自己偏好的咖啡。不论是在咖啡豆的选择、研磨、还是温度上，Haven Cafe 都一丝不苟的调整每一个微小元素，只为调配出最符合客人口味的咖啡。除此之外，他家的招牌小吃鸡蛋松饼可谓远近驰名，其通常会配上一个倒扣的冰淇淋卷或抹茶酱。,Introduction
intro_0036,皇冠逍遥之都位于亚拉河南岸，拥有一个饭店、多家精美餐厅、休闲式河畔咖啡馆、酒吧、购物商场、各种娱乐设施。这里有一部分设施，是游客可以不花分文就能享受的，像大厅的声光音效表演及亚拉河畔的喷火效果，都是由设计师配合“皇冠”附近亚拉河及南岸环境整体效果创造出来的。,Introduction
intro_0037,Bacchus位于布里斯班雷吉斯南岸酒店内，这家高端餐厅多年来屡次获得奖项，餐厅主打现代的澳大利亚菜肴，另有多个精选品尝菜单，每道菜都能给人惊喜，用餐时还有丰富的葡萄酒单可供挑选。除此以外，用餐后还可以慢慢享用精美瓷器盛装的下午茶，静静享受下午时光。,Introduction
intro_0038,Stokehouse Q的地理位置很棒，可以一边品尝新鲜的美食，一边欣赏美丽的城市景观，是情侣约会的绝佳餐厅之一。餐厅供应当地特色的牛排和海鲜，口味较佳，值得一试。服务员很是贴心，基本上有求必应。,Introduction
intro_0039,在悉尼和墨尔本有多家分店的川菜火锅店，这家店位于墨尔本唐人街，餐馆以四川风味为主，口味以麻辣为主，环境上打造优雅的中式风格，性价比很高。,Introduction
intro_0040,这是家正宗的法式西餐厅，招牌菜如其店名，主打法式蜗牛大餐，食物味美地道，烹调恰到好处，支持快速打包。员工自始至终都很友善礼貌，服务高效。餐厅地理位置佳，内部装修漂亮。,Introduction
intro_0041,位于唐人街的知名的海鲜酒楼，菜式主要是广东菜，早中晚餐还有夜宵都有供应，味道都很不错，食材够新鲜，价格略高。,Introduction
intro_0042,HQ's on William每个季节都会推出不同的当季食物，食材新鲜，行政主厨的烹饪手艺也非常了得，一定会给您的维多利亚之旅留下一个难忘的印象。午餐和晚餐的食物品种很丰富，晚上欢乐时光来品尝一下葡萄酒也很不错的。,Introduction
intro_0043,Nobu是全球连锁的日本料理店，位于墨尔本的分店于2007年开始营业。主厨将南美洲、北美洲的美食灵感与传统日本料理技艺结合，创造出一系列美味的创意料理。,Introduction
intro_0044,这是昆士兰现代美术馆内的西餐厅，主打现代澳洲风味菜肴，使用本地产食材，以创新理念烹调，让每一道菜品都像是一件艺术品。该餐厅品质出众的葡萄酒也不容错过，可以说是用餐体验的一部分。,Introduction
intro_0045,Ponyfish Island位于雅拉河的Southgate人行天桥下，在这家店用餐就仿佛身处一条船上一样，特别奇妙。强烈推荐大家在温暖的白天或者傍晚去小酌一杯，可以边欣赏风景边品尝当地的咖啡或啤酒。,Introduction
intro_0046,天府川菜馆是墨尔本人气旺盛的川菜馆，在墨尔本开设了多家分店，餐厅供应火锅和川菜，味道相当正宗，深受当地华人和留学生的喜爱。,Introduction
intro_0047,海鲜新鲜，菜品精致。,Introduction
intro_0048,St Ali是一家很有格调的咖啡厅，店内装潢非常有艺术感。除了提供各种咖啡、甜品外，在这里还能吃到很有创意的简餐。大厨把汉堡都做得很好看，令人更有欲望了。,Introduction
intro_0049,位于布里斯本河旁，不远处还有故事桥，河对岸便是市中心。茶餐厅开放式的建筑风格为人们提供了良好的视野，非常适合与朋友约在这里见面。餐厅提供不同风格的午餐和晚餐，以满足所有人的需求。,Introduction
intro_0050,餐厅位于CBD中心，距离布里斯班植物园很近。餐厅共有三层，分别是酒吧、阁楼餐厅和地窖，极简的设计风格非常有现代感，环境雅致明亮。提供现代澳大利亚美食，采用当地的新鲜食材，食物美味，摆盘精致。地道的当地美食搭配一杯香醇的葡萄酒，无疑是一次愉快的用餐体验。,Introduction
intro_0051,这家高级餐厅坐落在布里斯班CBD的一栋历史建筑中，将百年老旧的茶叶仓库改造为颇具现代感的用餐空间，独具个性。精选新鲜食材烹制的菜肴，尽可能还原食物原本的味道，精致的口感加上巧妙的搭配，让整个用餐过程异彩纷呈。,Introduction
intro_0052,位于布里斯班的一家西餐吧，主要提供西式简餐。环境简洁干净，宽敞舒适，服务热情到位，菜品的分量很大，性价比较高，很适合带小朋友一起用餐。,Introduction
intro_0053,Blackboard Coffee是一家很有情调的咖啡店，店内装潢明亮舒适，环境宽敞，服务专业，是许多当地人选择休闲小聚的去处。,Introduction
intro_0054,看名字就知道是以中国北方面食为主的餐馆，在悉尼很有名气。这里除了拉面等面食之外，还有各种北方风味的炒菜，怀念中国味道的话可以来此一试。,Introduction
intro_0055,一家好味又平价的泰国餐馆，环境开放大气，砖墙很有质感，厨房也是开放式的，可以看到厨师拌青木瓜沙拉的样子。每个菜式都不贵，份量也很足，最受欢迎的是青木瓜沙拉和海鲜沙拉，味道都很地道，就是比较辣。,Introduction
intro_0056,餐厅坐落在Hamilton区，主要提供的是日本料理，生鱼片是最受欢迎的菜品之一，鲜嫩肥美的生鱼片蘸上酱油和芥末，简直就是人间一大美味。餐厅的人气很旺，很多日本人都是这里的常客，足见餐厅日料的正宗。,Introduction
intro_0057,Vintaged Bar + Grill是希尔顿酒店内的一家餐厅，位于布里斯班的中心区域，地理位置优越。餐厅的装修和环境很豪华，菜品新鲜且摆盘十分精致，服务员也是非常热情。无论是商务宴请还是家庭聚餐，Vintaged Bar + Grill都是不错的选择。,Introduction
intro_0058,悉尼非常有人气的牛排馆，在悉尼有不少分店。这家分店位于达令港，店里提供各式海鲜、牛排和肋排，份量都超大，所以食量小的可以两个人分一份。,Introduction
intro_0059,曼利海滩获奖无数的意大利餐馆，曾经获得过悉尼最佳披萨店的称号，装饰也有一种轻松、自在的氛围，在这用餐可以欣赏到令人惊叹的无敌海景，在露天用餐更完美不过了。,Introduction
intro_0060,The Fine Food Store位于岩石区核心地带，氛围轻松惬意，当地风味的早午餐非常有特色，咖啡也非常出名。太阳好的时候，坐在室外喝杯咖啡真是一种享受。,Introduction
intro_0061,这是一家以海鲜为主的快餐店，除了能吃到新鲜的海鲜食物外，还能欣赏到美丽海滨的风景。,Introduction
intro_0062,这是一家以经营海鲜为主的餐厅，选用的食材很丰富，菜肴样式新颖，满足不同顾客的口味要求。餐厅环境优雅，能让你在最舒适的环境中用餐。,Introduction
intro_0063,这家日式餐厅位于Coolangatta的海滩附近，供应拉面、咖喱等常见的日式料理，味道不错，价格也不贵，人气很旺。,Introduction
intro_0064,国际知名的「赭石餐厅」位于凯恩斯码头旁，Harbour Light度假式公寓酒店一层，是澳大利亚最具创新的摩登餐厅之一，善于利用鲜活海产、花果时蔬及当地优选食材，呈现出令人惊艳的澳式美食。 获奖无数并且身兼澳大利亚美食餐厅大使的赭石餐厅创始人克雷格及其后厨团队倾注热情，致力于利用当地优质食材，为来自世界各地的游客提共多样化且高品质的美食美酒体验，让每一次用餐都像是一场旅游飨宴。,Introduction
intro_0065,勇记越南粉，1966年便有。勇记真有其人，他的父亲在越南开鞋店，而母亲则在店后经营越南粉，谁知最后父亲的鞋店倒闭，而母亲的越南粉则越做越兴旺。勇记深得母亲真传，移民到澳大利亚墨尔本创建勇记越南粉品牌并延续至今。 澳洲墨尔本的“勇记”越南粉，利用东南亚的特别香料加上米粉自成风格，口感清新不油腻，被香港美食家蔡澜称为 “最完美的越南粉”，中国的第一间旗舰店落户于佛山南海桂城嘉信茂广场三楼。,Introduction
intro_0066,餐厅外观看起来不起眼，走进去却别有洞天，未经粉饰的墙壁搭配舒适柔软的沙发椅，有种随性又细腻的美感。主厨注重从细节打磨菜品，开业至今为众多顾客提供了具有灵活性的菜单选择，能满足不同的用餐需求。,Introduction
intro_0067,Transport Hotel的附属餐厅，名气相当大，位置绝佳，位于联邦广场上，是亚拉河边的黄金位置。该餐厅的厨师组成是英籍的行政主厨和日籍的寿司主厨，东西结合，风味独特，属于澳洲新派菜系，价格也不算太高。,Introduction
intro_0068,Vue de monde位于55楼，透过大扇玻璃窗将无与伦比的城市夜景尽收眼底。餐厅不断探索本土食材的可能性，遵循食材的季节性，制作富有创意的欧洲风味美食。开放式厨房的设置让食客可全程观看厨师们熟练的烹饪动作，致力于给食客带来视觉上和味觉上的双重惊喜。,Introduction
intro_0069,Chokolait是主打巧克力的甜品店，有各种手工巧克力、巧克力蛋糕和巧克力饮品等等。这里使用的原料来自比利时，幼滑香甜，还可以选择甜度，喜欢巧克力的朋友可千万不要错过。,Introduction
intro_0070,走原木清新风格的高端中东餐厅，不仅有专业周到的服务，美食更是让人跃跃欲试，其中的招牌特色就包括了烤羊肩肉和水果饭，配上啤酒口味更佳。,Introduction
intro_0071,墨尔本市中心非常受欢迎的一家意大利披萨餐厅，不预订的话经常需要排队就餐。开放式的空间营造出舒适自在的用餐环境，披萨等菜肴用料新鲜，口味地道，令人赞不绝口。,Introduction
intro_0072,Proud Mary是墨尔本非常有名的一家咖啡馆，咖啡文化在墨尔本十分流行，这里的咖啡香浓可口，再搭配三明治、烘焙食品等，非常适合早餐或下午茶。,Introduction
intro_0073,这是一家装潢极具格调的咖啡馆，细节之处尽显质感。服务员很热情，外带咖啡的打包效率很高。他们家的咖啡及食物味道都超棒，很多人都会选择到这里来吃早餐。,Introduction
intro_0074,Shoya的装修风格日系化，榻榻米式的桌椅犹如在日本当地就餐一样。厨师Shigeo Nonaka以前是在一家历史悠久的日本餐厅学徒，培养了他作为日本厨师的技能，他梦想在世界传播日本料理，所以在这能吃到口味正宗的各种日本料理。,Introduction
intro_0075,Alchemy Restaurant and Bar位于布里斯班河边，景色一流。餐厅以白色为主，环境高贵优雅，服务专业周到，餐品很有特色，现代又不失澳大利亚的风格，能品尝到原汁原味的澳洲海鲜。,Introduction
intro_0076,餐厅位于布里斯班最美河畔汉密尔顿，主营地中海美食和各式鸡尾酒饮品，口味独特回味丰富，深受食客推崇，厨师Ihsan Deeb来自黎巴嫩，菜品设计富有想象力，在这里，你可以边享用美味的晚餐边聆听动人的音乐。,Introduction
intro_0077,餐厅距离布里斯班河畔不远，环境典雅时尚，用餐氛围舒适。提供西班牙和地中海风味美食和小吃，选取新鲜的时令食材，菜单也会根据季节而变化。菜品味道正宗，精致美味。坐在餐厅门前的露天位上，一边欣赏街边的风景，一边品尝美味的西班牙美食，惬意十足。,Introduction
intro_0078,这家日式餐厅有多种多样的寿司、刺身等可供选择，正宗的日式风味让你仿佛来到日本当地，是享用午餐和晚餐的好选择。,Introduction
intro_0079,主打龙虾等海鲜菜肴的餐厅，坐落在Labrador的海滨道旁。选用的食材十分新鲜，菜肴味道很棒，在用餐的同时还能眺望海岸风光。,Introduction
intro_0080,环境清新文艺的Brunch餐厅，提倡健康素食的饮食方式，使用来自当地农场的天然有机食材，出品颜值与美味并存，如艺术品般色彩斑斓、精美诱人的各式蛋糕更是令人垂涎欲滴。,Introduction
intro_0081,服务员非常友好，餐厅里请了驻场歌手。,Introduction
intro_0082,C'est Bon Cairns 拥有传统简约的内饰风格，不失法式浪漫和时尚，同时凭借出色的法式美食而声名远扬。行政总厨拥有非常丰富的烹饪经验，运用传统烹饪技巧制作精致的法餐，专注于给食客在视觉上和味觉上带来双重惊喜。餐厅还提供精选的葡萄酒单，给食客带来难忘的就餐体验。,Introduction
intro_0083,Dondoko坐落于凯恩斯城区中心，主营各种日本料理。餐厅有各种口味和配料的日式丼饭和三文鱼，食材新鲜地道，价格也不贵。餐厅环境干净整洁，服务质量很高，可以约上几个好友来此小聚。,Introduction
intro_0084,环境清新雅致的咖啡餐吧，提供澳洲特色的早餐和Brunch，饮品和菜品种类丰富，Eggs Benedict、Candy Caecar Salad味道都很棒。选择一个阳光明媚的早晨，点杯咖啡，外加一份澳洲特色的Brunch，享受属于这个城市的悠闲自在，惬意盎然。,Introduction
intro_0085,Iyara Restaurant & Bar 是一家泰国料理餐厅，从餐厅可以直接看到大海，欣赏美丽的景色。餐厅环境优雅舒适，服务亲切友好，食物美味可口。,Introduction
intro_0086,这家咖啡馆位于凯恩斯Edgehill，颇受当地人推崇，开放式的厨房，你可以亲眼看着厨师为你准备新鲜食物，闪电般的上菜速度通常让食客惊喜，熏火腿三明治、甜甜圈和纸杯蛋糕搭配咖啡是不错的选择。,Introduction
intro_0087,这家牛排餐厅坐落在港口旁，设有户外座位，用餐时可以欣赏到海港风光。新鲜的牛肉加以适当的火候，烹饪出肉质鲜嫩的牛排，被许多食客评价为凯恩斯最棒的牛排店之一。,Introduction
intro_0088,这家餐厅位于位于Broadbeach的心脏地带，能够俯瞰整个维多利亚公园。餐厅多次获奖，这里无疑是黄金海岸的最佳牛排餐厅之一和昆士兰州首屈一指的餐厅场所之一。餐厅采用最好的食材，在这里不仅能够吃优质的牛排，还有其他海鲜、蔬菜能都品尝得到。,Introduction
intro_0089,这是一家旋转餐厅，位于皇冠假日酒店顶部，壮丽的海岸线和周边秀丽景色尽收眼底，风景如画。,Introduction
intro_0090,Alfresco Italian Restaurant是黄金海岸一家人气很高的意大利餐厅，主厨擅长意大利料理，从意面到烤牛排无一不精，你可以在这里享受正宗的意大利美食。,Introduction
intro_0091,环境典雅舒适，主打中餐及亚洲风味菜肴，选取新鲜的时令食材，将传统风味与现代烹饪技艺相融合，并且不断推陈出新，带给食客优质的用餐体验。,Introduction
intro_0092,餐厅提供自助餐和点餐两种方式，服务非常热情，要加菜时服务员总是随叫随到。日式烤肉的风格也和其它烤肉不同，配上澳洲的当地食材，确实是与众不同的味觉体验。,Introduction
intro_0093,靠近悉尼大剧院的一个酒吧，外国游客必到之处，一边喝红酒一边俯瞰雄伟的海湾大桥，身边还不时有海鸥飞过，这里的服务员亲切友好，小食和酒水价格也非常合理。,Introduction
intro_0094,位于一栋老建筑内的茶室，楼上、楼下、阳台和院子都以复古风装修，还有琳琅满目的书籍作为装饰，提供悉尼正宗的英式奶油茶，配上烤饼非常好吃。,Introduction
intro_0095,Gumshara拉面位于中国城的Eating World Food court里，碗热腾腾的拉面配上猪肉切片让人看了就胃口大开。他们的招牌菜是筒骨汤拉面，当然也少不了其他各式各样的拉面满足大家的口味。,Introduction
intro_0096,这家餐厅主打泰国料理，在当地非常受欢迎，用餐时间经常人满为患。菜品种类繁多，可以满足不同人的口味偏好，价格不贵，性价比很高。,Introduction
intro_0097,这家咖啡馆位于美食集中地Surry Hills区域，提供各种早餐美食和饮品。早餐种类十分多样，英式、美式、意式早餐都能够品尝到，而且造型十分美观，除了早餐，还能在这里品尝美味的咖啡和各种饮品。,Introduction
intro_0098,这家小小的蛋糕店隐藏在一条小巷中，很不起眼，但他们家轻若羽毛一般的芝士蛋糕是很多人的最爱。当然，除了招牌的芝士蛋糕，也有很多其他的精致小甜点，快来打包一份甜蜜吧！,Introduction
intro_0099,这家澳式餐馆就坐落在港湾旁边，全玻璃的外观非常吸引人，还可以看到悉尼歌剧院和海港大桥两大地标建筑。餐厅原料来自于农场和渔民，制作的菜肴也是精益求精，曾在澳大利亚赢得了多个奖项，多次出现在世界50佳餐厅中。,Introduction
intro_0100,这家开业于1988年的澳式餐厅号称是悉尼最受欢迎的海鲜餐厅，装饰风格比较复古，地方不大，但给人感觉很闲适。各式菜肴味道一流，食材都很新鲜，而且价格合理。,Introduction
intro_0101,悉尼大排长队的四川火锅店，中国风装修，不算富丽堂皇，绝对宽敞明亮，一米羊肉量很大，每片都非常厚实，其他推荐菜神仙腰片、麻辣排骨、大龙三宝。,Introduction
intro_0102,Kenzan是墨尔本一家非常有名的日料餐厅，曾数次被当地美食杂志和其他媒体推荐，也一直是优秀餐厅榜上的常客。这里的食材新鲜，服务也周到，所以通常人气都很高。,Introduction
intro_0103,这是一座在布里斯班河上移动的餐馆。在1987年2月推出巡游布里斯班河的活动，可以欣赏优美风景。在船上的餐厅上一日游包括三道点餐菜单、美酒、下午茶还可以欣赏现场的爵士乐和如诗如画的风景。,Introduction
intro_0104,这家餐厅藏身在一个不起眼的小巷子Burnett Lane里，很多周围工作的白领光顾，这里提供早餐、午餐和饮料，汉堡中的牛油果酱清香细滑入口即化，沙朗牛排是明星菜品，强烈推荐。,Introduction
intro_0105,The Mitre Tavern牛排餐厅，致力于为顾客提供最优质美味的牛排，所用的牛都是用最好的谷物饲养的，肉质鲜嫩。另外，还供应顾客感兴趣的海鲜餐，菜品非常丰富。如果您对食物有特殊需求的话，厨师同样也可以满足您。不管您是否相信，他们家牛排所用的酱汁都是无谷蛋白的，值得一试！,Introduction
intro_0106,Auction Rooms Cafe位于墨尔本北部，咖啡厅所在的建筑原本是拍卖所，故而得名。这里供应美味的咖啡和餐点，是很多人享用早午餐的首选地点。此外，他们也零售咖啡豆，你可以买回家自己磨豆煮咖啡。,Introduction
intro_0107,主属于越南菜系，提供三餐，选择丰富，也能轻松地做到营养搭配均衡。室内温度比较舒适，服务周到，重点是上菜速度很快，而且味道都很不错，Soup Pho值得一尝。,Introduction
intro_0108,富有年代感的木质家具，加上暖色调的灯光和装饰，法式风情浓厚，环境雅致舒适。餐厅供应时令法式菜肴和丰富的法国葡萄酒，选用新鲜食材，每一道菜都精心烹饪，菜品品质上乘，摆盘也相当精美，口味较为清淡，味道正宗。,Introduction
intro_0109,Cru是集合了葡萄酒酒吧、酒窖、餐厅的多功能场地，来这里了品尝葡萄酒，香槟、苹果酒和烈酒，是一种极为难得的体验。鸭肉料理是这里的一大特色，不妨一试。,Introduction
intro_0110,这可能是墨尔本最棒的日料店了，主打日式海鲜料理和日式烤肉，海鲜质量非常高，烤肉鲜嫩多汁，足以抓住食客的胃。现场还演奏者日式爵士乐，很有情调。强烈推荐这家。,Introduction
intro_0111,人气很旺的马来西亚餐厅，深受墨尔本当地民众热捧，并时常得到餐饮界名流的好评。店内的开放式窗口也会让食客对干净简洁的制作流程一览无余，朋友们可以透过橱窗欣赏抛饼的现做表演。餐厅菜品种类丰富，价格也是相当美好。,Introduction
intro_0112,Bangpop是当地一家著名的泰国餐厅，位于墨尔本South Wharf Promenade。如果您热衷于泰国美食，那么这家餐厅一定要来尝试一下。店内的氛围很棒，来到这里用餐就好像在泰国一样。主厨的烹饪手艺很棒，还有清迈人Lukkhana Pothasu掌勺，所以不必担心吃不到正宗的泰国食物。推荐尝一下Grilled Pork Neck、Chicken Spare Ribs、Tom Yum Goong (A Spicy Prawn Broth)和Geang Dang Ped (Red Duck Curry)。,Introduction
intro_0113,The Three Monkeys是一家营业到深夜的咖啡厅，这在布里斯班的餐饮界来说是比较难得的。店内面积不大，装修古朴，环境幽暗。可以叫上几个好友来此喝喝咖啡，玩玩桌游，也不用担心店铺会早早关门，可以尽情玩耍，非常惬意。,Introduction
intro_0114,卓越奖 2018,Introduction
intro_0115,在布里斯班和黄金海岸一共有三家分店，为顾客提供一个温暖并且热情的氛围，为远行的旅客提供家的味道。将现代风格同木质家具相结合、开放式厨房和室内室外环境的无缝连接是他标志性的装饰，披萨是这家店的特色。可同时满足12-200人的就餐。,Introduction
intro_0116,餐厅设计风格简洁雅致，黑白色调的极简搭配显得宽敞明亮，用餐氛围很棒。提供现代澳洲料理和Brunch，食材新鲜，食物美味可口，而且颜值极高，各类甜点和饮品都很受欢迎。Rogue Bistro是BYO餐厅，酒类需自带。,Introduction
intro_0117,一家地道的日本料理店，餐厅的装修风格以黑色为主基调，既提供便捷的定食套餐，也有多人享用的单点菜品。 食物原材料新鲜，出品稳定，深受众多日料爱好者的喜爱。,Introduction
intro_0118,清新雅致的咖啡店，以高品质的手工咖啡著称，除了咖啡饮品外，还提供早餐和丰富多样的Brunch，可以品尝到纯正的澳洲特色美食，Traditional Oat Porridge、Blueberry Bagel等都非常受欢迎。,Introduction
