TelID:ID,Tel,:LABEL
tel_0151,+61 2 9906 7393,Tel
tel_0152,+61 2 9337 2007,Tel
tel_0153,-92818938,Tel
tel_0154,-92352658,Tel
tel_0155,+61 2 8223 3800,Tel
tel_0156,80978646,Tel
tel_0157,-92476312,Tel
tel_0158,-92300060,Tel
tel_0159,-92995059,Tel
tel_0160,-55260890,Tel
tel_0161,+61 8 9423 5000,Tel
tel_0162,-92670740,Tel
tel_0163,-38521446,Tel
tel_0164,-96639832,Tel
tel_0165,-95711940,Tel
tel_0166,292518328,Tel
tel_0167,-96623597,Tel
tel_0168,-92452393,Tel
tel_0169,-91147255,Tel
tel_0170,-82323391,Tel
tel_0171,-82138835,Tel
tel_0172,-83015498,Tel
tel_0173,-82318834,Tel
tel_0174,-99423888,Tel
tel_0175,+61 2 9247 2229,Tel
tel_0176,+61 3 6234 7111,Tel
tel_0177,+61 3 6223 5297,Tel
tel_0178,+61 3 6231 1999,Tel
tel_0179,-95522496,Tel
tel_0180,-56793887,Tel
tel_0181,+61 3 6333 0888,Tel
tel_0182,-84311334,Tel
tel_0183,+61 8 8621 2000,Tel
tel_0184,-40518823,Tel
tel_0185,+61 2 6230 5921,Tel
tel_0186,+61 8 9227 8682,Tel
tel_0187,+61 2 9283 5525,Tel
tel_0188,+61 3 6334 5066,Tel
tel_0189,+61 2 9566 4178,Tel
tel_0190,-307787,Tel
tel_0191,-55203026,Tel
tel_0192,+61 439 303 597,Tel
tel_0193,-82837665,Tel
tel_0194,-93182169,Tel
tel_0195,+61 3 6331 3775,Tel
tel_0196,-96981052,Tel
tel_0197,-5383790,Tel
tel_0198,-95574196,Tel
tel_0199,-96508330,Tel
tel_0200,-96395719,Tel
tel_0201,+61 2 9810 3355,Tel
tel_0202,-40314694,Tel
tel_0203,-96621608,Tel
tel_0204,-80997030,Tel
tel_0205,-40515750,Tel
tel_0206,-421567,Tel
tel_0207,-40540960,Tel
tel_0208,-40513834,Tel
tel_0209,755701056,Tel
tel_0210,-92804478,Tel
tel_0211,+61 2 8283 3276,Tel
tel_0212,-92527738,Tel
tel_0213,-83990870,Tel
tel_0214,-33699446,Tel
tel_0215,292800077,Tel
tel_0216,-827741,Tel
tel_0217,-96392575,Tel
tel_0218,+61 8 8905 8451,Tel
tel_0219,3210 0308,Tel
tel_0220,+61 7 3358 3003,Tel
tel_0221,-96635509,Tel
tel_0222,92473221,Tel
tel_0223,-38442601,Tel
tel_0224,+61 2 9211 0138,Tel
tel_0225,-40521074,Tel
tel_0226,88238818,Tel
tel_0227,-96992176,Tel
tel_0228,-38352834,Tel
tel_0229,+61 7 3844 2866,Tel
tel_0230,+61 8 6215 1000,Tel
tel_0231,-92472655,Tel
tel_0232,-99694029,Tel
tel_0233,-93571685,Tel
tel_0234,-92414819,Tel
tel_0235,-82747441,Tel
tel_0236,+61 3 6223 6665,Tel
tel_0237,-98201023,Tel
tel_0238,-36380377,Tel
tel_0239,-91147280,Tel
tel_0240,9698-8873,Tel
tel_0241,+61 2 9280 2029,Tel
tel_0242,-94923231,Tel
tel_0243,-80211570,Tel
tel_0244,-99550166,Tel
tel_0245,280727037,Tel
tel_0246,-92831832,Tel
tel_0247,+61 2 8084 5470,Tel
tel_0248,+61 2 9279 3311,Tel
tel_0249,-55275646,Tel
tel_0250,-96996097,Tel
tel_0251,+61 2 9252 4553,Tel
tel_0252,-33714504,Tel
tel_0253,-96399296,Tel
tel_0254,-95578597,Tel
tel_0255,-96900127,Tel
tel_0256,-83548401,Tel
tel_0257,+61 2 9280 4994,Tel
tel_0258,+61 2 9211 5232,Tel
tel_0259,-80781829,Tel
tel_0260,-95348163,Tel
tel_0261,-90401130,Tel
tel_0262,-32119890,Tel
tel_0263,-96623168,Tel
tel_0264,-96059959,Tel
tel_0265,+61 2 4739 6969,Tel
tel_0266,+61 2 9557 8656,Tel
tel_0267,+61 2 9283 4888,Tel
tel_0268,-80212779,Tel
tel_0269,-82620003,Tel
tel_0270,+61 2 9261 4900,Tel
tel_0271,-96707055,Tel
tel_0272,+61 3 9041 4318,Tel
tel_0273,-95186618,Tel
tel_0274,"+61-3-93476974,+61-433-164739",Tel
tel_0275,-95300053,Tel
tel_0276,-93473527,Tel
tel_0277,-33924261,Tel
tel_0278,-38436612,Tel
tel_0279,-96622717,Tel
tel_0280,-93472568,Tel
tel_0281,-90775130,Tel
tel_0282,-96633303,Tel
tel_0283,-94195841,Tel
tel_0284,-991228,Tel
tel_0285,-92801921,Tel
tel_0286,-92629466,Tel
tel_0287,-92672841,Tel
tel_0288,-16372,Tel
tel_0289,-83222031,Tel
tel_0290,-40411368,Tel
tel_0291,-40312468,Tel
tel_0292,+61 7 4051 4622,Tel
tel_0293,+61 2 6295 6537,Tel
tel_0294,+61 2 6249 6050,Tel
tel_0295,+61 3 9670 7317,Tel
tel_0296,-96639824,Tel
tel_0297,-38447057,Tel
tel_0298,-38323834,Tel
tel_0299,-97778941,Tel
tel_0300,+61 2 9295 5080,Tel
tel_0301,-55392845,Tel
tel_0302,-91147283,Tel
tel_0303,-96637602,Tel
tel_0304,+61 3 9662 1565,Tel
tel_0305,-30128532,Tel
tel_0306,-40521172,Tel
tel_0307,-40314623,Tel
tel_0308,-40315346,Tel
tel_0309,-55264979,Tel
tel_0310,-55385149,Tel
tel_0311,+61 7 3371 2555,Tel
tel_0312,-30777072,Tel
tel_0313,+61 431 591 018,Tel
tel_0314,+61 2 9261 8832,Tel
tel_0315,-55822646,Tel
tel_0316,-92656009,Tel
tel_0317,-82989851,Tel
tel_0318,-96638330,Tel
tel_0319,-420668605,Tel
tel_0320,-90776203,Tel
tel_0321,-96621961,Tel
tel_0322,-90204274,Tel
tel_0323,-33441259,Tel
tel_0324,-33719820,Tel
tel_0325,61-7-55386668,Tel
tel_0326,-55305182,Tel
tel_0327,+61 2 9267 9922,Tel
tel_0328,-92678897,Tel
tel_0329,-52218051,Tel
tel_0330,-92925719,Tel
tel_0331,-32172563,Tel
tel_0332,-32201834,Tel
tel_0333,+61 3 9670 7131,Tel
tel_0334,07-3630-0411,Tel
tel_0335,-96501387,Tel
tel_0336,-71949,Tel
tel_0337,-96913830,Tel
tel_0338,-96508070,Tel
tel_0339,-94270234,Tel
tel_0340,+61 2 9456 2633,Tel
tel_0341,-93658941,Tel
tel_0342,-96632980,Tel
tel_0343,-96965275,Tel
tel_0344,-94170976,Tel
tel_0345,-82119947,Tel
tel_0346,-92803732,Tel
tel_0347,+61 2 9211 0315,Tel
tel_0348,-95800729,Tel
tel_0349,-92836708,Tel
tel_0350,-92111609,Tel
tel_0351,-92473030,Tel
tel_0352,-93573015,Tel
tel_0353,-92674590,Tel
tel_0354,-92518624,Tel
tel_0355,+61 2 9360 9631,Tel
tel_0356,-96992166,Tel
tel_0357,9380-5941,Tel
tel_0358,-92622343,Tel
tel_0359,-40590890,Tel
tel_0360,-32572134,Tel
tel_0361,-40591854,Tel
tel_0362,-90416324,Tel
tel_0363,+61 7 5538 1688,Tel
tel_0364,-247242,Tel
tel_0365,+61 3 6223 7011,Tel
tel_0366,+61 3 6224 9655,Tel
tel_0367,+61 1300 989 989,Tel
tel_0368,-82835521,Tel
tel_0369,-92118718,Tel
tel_0370,-55046420,Tel
tel_0371,+61 8 9752 2668,Tel
tel_0372,+61 8 9381 2099,Tel
tel_0373,+61 3 9827 1228,Tel
tel_0374,+61 8 8088 1777,Tel
tel_0375,-56659241,Tel
tel_0376,-82237784,Tel
tel_0377,-82117995,Tel
tel_0378,-82128235,Tel
tel_0379,-82216553,Tel
tel_0380,-82313474,Tel
tel_0381,+61 8 8232 6792,Tel
tel_0382,-82313250,Tel
tel_0383,-96624498,Tel
tel_0384,-82312250,Tel
tel_0385,-82108846,Tel
tel_0386,+61 8 8410 1413,Tel
tel_0387,-82216250,Tel
tel_0388,-72266538,Tel
tel_0389,+61 3 8648 7644,Tel
tel_0390,+61 2 6162 0602,Tel
tel_0391,+61 2 6247 6060,Tel
tel_0392,-55382090,Tel
tel_0393,-93300610,Tel
tel_0394,-40311186,Tel
tel_0395,-30677812,Tel
tel_0396,-55929716,Tel
tel_0397,-56315881,Tel
tel_0398,-93657117,Tel
tel_0399,-92676167,Tel
tel_0400,+61 2 9240 1396,Tel
tel_0401,+61 7 3365 8921,Tel
tel_0402,-40414230,Tel
tel_0403,-82326815,Tel
tel_0404,-82270746,Tel
tel_0405,-82040741,Tel
tel_0406,-92121718,Tel
tel_0407,-931289,Tel
tel_0408,-32542334,Tel
tel_0409,+61 2 9964 9998,Tel
tel_0410,-56306557,Tel
tel_0411,-92613282,Tel
tel_0412,-98909840,Tel
tel_0413,+61 2 9560 1349,Tel
tel_0414,-96579110,Tel
tel_0415,-92407941,Tel
tel_0416,-991228,Tel
tel_0417,02 9299 7273,Tel
tel_0418,+61 2 9519 5330,Tel
tel_0419,+61 2 9332 4052,Tel
tel_0420,+61 2 9247 9777,Tel
tel_0421,-92115497,Tel
tel_0422,+61 2 9929 6169,Tel
tel_0423,+61 2 8962 5900,Tel
tel_0424,-92315457,Tel
tel_0425,-92648777,Tel
tel_0426,-86229496,Tel
tel_0427,-94295122,Tel
tel_0428,-55267001,Tel
tel_0429,+61 3 9070 3980,Tel
tel_0430,+61 2 9247 7309,Tel
tel_0431,+61 2 9662 8188,Tel
tel_0432,-88996161,Tel
tel_0433,+61 3 9525 9127,Tel
tel_0434,-90788061,Tel
tel_0435,-92832209,Tel
tel_0436,-31616192,Tel
tel_0437,+61 2 9241 3338,Tel
tel_0438,-83888629,Tel
tel_0439,+61 2 9283 9694,Tel
tel_0440,-95578597,Tel
tel_0441,-825576,Tel
tel_0442,-96609829,Tel
tel_0443,+61 2 9388 9222,Tel
tel_0444,"+61-3-94285833,+61-3-94282189",Tel
tel_0445,+61 2 9954 4057,Tel
tel_0446,61-2-98183699,Tel
tel_0447,-92118071,Tel
tel_0448,-80997018,Tel
tel_0449,-33499234,Tel
tel_0450,+61 3 9481 1177,Tel
tel_0451,+61 3 9650 3088,Tel
tel_0452,-96544408,Tel
tel_0453,-98668511,Tel
tel_0454,-96451603,Tel
tel_0455,+61 2 9566 1135,Tel
tel_0456,+61 2 9518 9955,Tel
tel_0457,-92472878,Tel
tel_0458,+61 2 9252 6868,Tel
tel_0459,-92646951,Tel
tel_0460,+61 2 6247 4042,Tel
tel_0461,-33791634,Tel
tel_0462,"+61-3-96700199,+61-3-96700399",Tel
tel_0463,-96503763,Tel
tel_0464,+61 3 9699 4170,Tel
tel_0465,-33662412,Tel
tel_0466,+61 3 9663 0411,Tel
tel_0467,-86631942,Tel
tel_0468,-92925719,Tel
tel_0469,-38523768,Tel
tel_0470,-32551556,Tel
tel_0471,-32291146,Tel
tel_0472,+61 7 3210 0032,Tel
tel_0473,61-7-55120555,Tel
tel_0474,-93687429,Tel
tel_0475,-92215521,Tel
tel_0476,-92402196,Tel
tel_0477,-96621753,Tel
tel_0478,-30031827,Tel
tel_0479,-33917023,Tel
tel_0480,-38708428,Tel
tel_0481,-90770104,Tel
tel_0482,+61 2 9657 9109,Tel
tel_0483,-20966311,Tel
tel_0484,-92111063,Tel
tel_0485,-93322285,Tel
tel_0486,+61 2 9283 5789,Tel
tel_0487,+61 2 8068 2564,Tel
tel_0488,-82466973,Tel
tel_0489,-40510345,Tel
tel_0490,-40315905,Tel
tel_0491,-40308843,Tel
tel_0492,-40315845,Tel
tel_0493,-40516912,Tel
tel_0494,+61 7 4044 1879,Tel
tel_0495,-93472743,Tel
tel_0496,-96547608,Tel
tel_0497,3856 0066,Tel
tel_0498,-96988830,Tel
tel_0499,-94283527,Tel
tel_0500,-53605323,Tel
tel_0501,-96509164,Tel
tel_0502,-93478606,Tel
tel_0503,-32202148,Tel
tel_0504,-32552161,Tel
tel_0505,-96633230,Tel
tel_0506,-96400673,Tel
tel_0507,-433379039,Tel
tel_0508,-96636284,Tel
tel_0509,+61 2 6273 6111,Tel
tel_0510,-32102234,Tel
tel_0511,+61 7 4052 2096,Tel
tel_0512,-40517723,Tel
tel_0513,-40415296,Tel
tel_0514,-55111045,Tel
tel_0515,-83887010,Tel
tel_0516,-98105407,Tel
tel_0517,+61 3 9654 2682,Tel
tel_0518,-96503097,Tel
tel_0519,-96158442,Tel
tel_0520,-38523745,Tel
tel_0521,-32118057,Tel
tel_0522,+61 7 3835 3535,Tel
tel_0523,-40312979,Tel
tel_0524,-80786961,Tel
tel_0525,-90041041,Tel
tel_0526,+61 2 9251 5192,Tel
tel_0527,-55097946,Tel
tel_0528,-92837039,Tel
tel_0529,-93311529,Tel
tel_0530,-55922834,Tel
tel_0531,-93806685,Tel
tel_0532,-96212042,Tel
tel_0533,-86791830,Tel
tel_0534,-33669979,Tel
tel_0535,-93726325,Tel
tel_0536,+61 7 3391 1413,Tel
tel_0537,-32216036,Tel
tel_0538,-96502719,Tel
tel_0539,-96621827,Tel
tel_0540,-96003996,Tel
tel_0541,+61 7 3263 8444,Tel
tel_0542,-96500027,Tel
tel_0543,+61 7 3188 1721,Tel
tel_0544,6163358700,Tel
tel_0545,-82116670,Tel
tel_0546,-82673500,Tel
tel_0547,-82778496,Tel
tel_0548,-85404298,Tel
tel_0549,-90880663,Tel
tel_0550,"96,869,766",Tel
tel_0551,+61 3 9670 3270,Tel
tel_0552,-85989822,Tel
tel_0553,-96503097,Tel
tel_0554,-93474538,Tel
tel_0555,-32295016,Tel
tel_0556,-598779,Tel
tel_0557,-33458030,Tel
tel_0558,-55317096,Tel
tel_0559,+61 8 9361 6055,Tel
tel_0560,+61 3 6234 9898,Tel
tel_0561,-90078293,Tel
tel_0562,-99339941,Tel
tel_0563,-55382505,Tel
tel_0564,-55045156,Tel
tel_0565,-55335281,Tel
tel_0566,+61 3 9751 1100,Tel
tel_0567,-32676600,Tel
tel_0568,+61 2 9256 1661,Tel
tel_0569,-80688220,Tel
tel_0570,-82116907,Tel
tel_0571,-82327902,Tel
tel_0572,-82675716,Tel
tel_0573,+61 1800 556 688,Tel
tel_0574,+61 2 9247 4794,Tel
tel_0575,-82312246,Tel
tel_0576,-82233473,Tel
tel_0577,-93323241,Tel
tel_0578,-82318482,Tel
tel_0579,-82382347,Tel
tel_0580,6182118464,Tel
tel_0581,-96631497,Tel
tel_0582,+61 2 6295 1515,Tel
tel_0583,+61 2 6248 8119,Tel
tel_0584,-62576353,Tel
tel_0585,+61 2 6257 5220,Tel
tel_0586,+61 3 6335 5777,Tel
tel_0587,+61 63314446,Tel
tel_0588,+61 3 6334 0554,Tel
tel_0589,-55560855,Tel
tel_0590,-56611463,Tel
tel_0591,+61 413 440 171,Tel
tel_0592,+61 2 4780 1200,Tel
tel_0593,-94124919,Tel
tel_0594,+61 2 8084 3467,Tel
tel_0595,-98220086,Tel
tel_0596,-83194057,Tel
tel_0597,-96398830,Tel
tel_0598,-55035446,Tel
tel_0599,+61 3 9548 8695,Tel
tel_0600,-38442187,Tel
tel_0601,-40553649,Tel
tel_0602,-96621630,Tel
tel_0603,-33585395,Tel
tel_0604,-85940837,Tel
tel_0605,-96714386,Tel
tel_0606,-96621060,Tel
tel_0607,+61 2 9517 3066,Tel
tel_0608,+61 2 9557 7699,Tel
tel_0609,-86243072,Tel
tel_0610,-92320822,Tel
tel_0611,02 9250 3160,Tel
tel_0612,-92111116,Tel
tel_0613,+61 3 9525 3899,Tel
tel_0614,-92829929,Tel
tel_0615,-92112173,Tel
tel_0616,+61 3 9670 6522,Tel
tel_0617,+61 2 9299 7371,Tel
tel_0618,-33586502,Tel
tel_0619,+61 7 3369 2747,Tel
tel_0620,280578835,Tel
tel_0621,+61 2 9570 9051,Tel
tel_0622,-93484713,Tel
tel_0623,+61 3 9190 1588,Tel
tel_0624,-92660608,Tel
tel_0625,+61 8 9757 2900,Tel
tel_0626,+(61)42250340,Tel
tel_0627,+61 3 9885 8777,Tel
tel_0628,+61 3 9372 1426,Tel
tel_0629,+61 94160618,Tel
tel_0630,+61 3 9347 3985,Tel
tel_0631,+61 3 9529 8484,Tel
tel_0632,+61 3 9670 4904,Tel
tel_0633,+61 408 362 806,Tel
tel_0634,+61 3 9662 9009,Tel
tel_0635,+61 433 386 491,Tel
tel_0636,-93196550,Tel
tel_0637,+61 2 9600 8690,Tel
tel_0638,+61 2 9807 4388,Tel
tel_0639,+61 2 9622 9690,Tel
tel_0640,9267 4552,Tel
tel_0641,+61 499148998,Tel
tel_0642,+61 2 9521 2378,Tel
tel_0643,+61 2 9568 5522,Tel
tel_0644,6198100007,Tel
tel_0645,272270050,Tel
tel_0646,+61 8 9781 2700,Tel
tel_0647,+61 8 9721 3330,Tel
tel_0648,+61 2 9969 1368,Tel
tel_0649,+61 2 9264 9001,Tel
tel_0650,+61 2 9280 0928,Tel
tel_0651,61-2-98746270 0423-828-680,Tel
tel_0652,+61 2 9217 5527,Tel
tel_0653,9652 1183,Tel
tel_0654,+61 2 9398 1356,Tel
tel_0655,+61 2 9739 6628,Tel
tel_0656,+61 2 8810 2082,Tel
tel_0657,+61 2 9318 0881,Tel
tel_0658,+61 2 9550 3423,Tel
tel_0659,+61 2 9519 9669,Tel
tel_0660,+61 2 9550 1119,Tel
tel_0661,+61 2 9300 6688,Tel
tel_0662,+61 419 405 540,Tel
tel_0663,+61 2 8937 0404,Tel
tel_0664,+61 2 6295 1363,Tel
tel_0665,+61 7 3238 5888,Tel
tel_0666,+61 2 9369 4222,Tel
tel_0667,+61 2 9980 7853,Tel
tel_0668,+61 2 9114 7326,Tel
tel_0669,+61 2 9114 7303,Tel
tel_0670,+61 2 9281 9687,Tel
tel_0671,+61 2 9368 1620,Tel
tel_0672,+61 8 8221 5810,Tel
tel_0673,"(07),3234,2000",Tel
tel_0674,-96023830,Tel
tel_0675,-63342042,Tel
tel_0676,+61 3 6331 5346,Tel
tel_0677,+61 2 9251 0384,Tel
tel_0678,-90789750,Tel
tel_0679,6193313200,Tel
tel_0680,+61 2 5105 3812,Tel
tel_0681,+61 3 9654 6288,Tel
tel_0682,61-3-96422203,Tel
tel_0683,+61 2 6163 1818,Tel
tel_0684,+61 430 911 983,Tel
tel_0685,+61 3 9699 9008,Tel
tel_0686,+61 6201 1500,Tel
tel_0687,+61 2 9221 1841,Tel
tel_0688,+61 2 8040 7483,Tel
tel_0689,+61 416 803 852,Tel
tel_0690,"+61,3,9723,6707",Tel
tel_0691,+61 488 073 077,Tel
tel_0692,+61 3 9654 2252,Tel
tel_0693,+61 3 9663 1222,Tel
tel_0694,+61 7 3211 2162,Tel
tel_0695,+61 7 3891 1011,Tel
tel_0696,+61 7 3013 8725,Tel
tel_0697,+61 7 3358 6658,Tel
tel_0698,"+61-7-33658921,+61-7-33658999",Tel
tel_0699,+61 3 9417 7310,Tel
tel_0700,-98026330,Tel
tel_0701,03-99882828,Tel
tel_0702,+61 7 3831 8344,Tel
tel_0703,+61 7 3846 2233,Tel
tel_0704,+61 3 9743 1808,Tel
tel_0705,+61 3 9650 2373,Tel
tel_0706,+61 3 9395 4888,Tel
tel_0707,+61 3 9080 6119,Tel
tel_0708,-92213253,Tel
tel_0709,+61 8 9322 8050,Tel
tel_0710,-98808638,Tel
tel_0711,62518200,Tel
tel_0712,+61 7 3252 7848,Tel
tel_0713,+61 7 3257 2532,Tel
tel_0714,+61 2 8629 8888,Tel
tel_0715,+61 7 5564 0100,Tel
tel_0716,+61 7 5561 1588,Tel
tel_0717,+61 8 8232 6133,Tel
tel_0718,+61 2 9357 5055,Tel
tel_0719,+61 3 9510 1819,Tel
tel_0720,+61 3 9349 3998,Tel
tel_0721,+61 7 3832 6358,Tel
tel_0722,+61 7 3358 2634,Tel
tel_0723,"+61-0434064349,+61-0421959865",Tel
tel_0724,+61 7 3396 6029,Tel
tel_0725,-92680241,Tel
tel_0726,+61 2 9666 1799,Tel
tel_0727,+61 46771018,Tel
tel_0728,+61 2 9399 5888,Tel
tel_0729,+61 2 8626 9007,Tel
tel_0730,+61 3 9561 7668,Tel
tel_0731,+61 3 9098 1188,Tel
tel_0732,+61 7 3161 4166,Tel
tel_0733,-40414905,Tel
tel_0734,-29996854,Tel
tel_0735,+61 3 9882 1142,Tel
tel_0736,+61 3 9650 9880,Tel
tel_0737,+61 3 9376 5484,Tel
tel_0738,95008819,Tel
tel_0739,+61 3 9663 2284,Tel
tel_0740,+61 3 9614 7096,Tel
tel_0741,-40518279,Tel
tel_0742,-40412570,Tel
tel_0743,+61 8 9335 8825,Tel
tel_0744,-77797120,Tel
tel_0745,+61 8 9220 8333,Tel
tel_0746,+61 8 9325 3799,Tel
tel_0747,+61 8 9228 3968,Tel
tel_0748,-774754,Tel
tel_0749,+61 2 8014 5661,Tel
tel_0750,+61 7 3924 0501,Tel
tel_0751,-40311533,Tel
tel_0752,-40517716,Tel
tel_0753,+61 2 9130 2266,Tel
tel_0754,+61 2 8099 1234,Tel
tel_0755,+61 2 9252 8600,Tel
tel_0756,+61 2 9252 4600,Tel
tel_0757,292402255,Tel
tel_0758,+61 2 9821 1880,Tel
tel_0759,+61 2 9332 2161,Tel
tel_0760,+61 2 9970 8720,Tel
tel_0761,+61 2 4655 5544,Tel
tel_0762,+61 2 9826 8818,Tel
tel_0763,+61 2 8964 6414,Tel
tel_0764,+61 450 891 308,Tel
tel_0765,+61 2 9517 1515,Tel
tel_0766,+61 2 9191 0908,Tel
tel_0767,+61 2 9360 2523,Tel
tel_0768,+61 2 9299 7929,Tel
tel_0769,(07) 5599 5116,Tel
tel_0770,+61 3 9653 6884,Tel
tel_0771,+61 3 9596 1180,Tel
tel_0772,+61 3 9596 4455,Tel
tel_0773,+61 7 3278 8883,Tel
tel_0774,-36660153,Tel
tel_0775,+61 3 9853 1727,Tel
tel_0776,07 3831 8344,Tel
tel_0777,-32294803,Tel
tel_0778,+61 3 9654 1011,Tel
tel_0779,+61 3 9642 3424,Tel
tel_0780,-90787579,Tel
tel_0781,+61 3 9543 1068,Tel
tel_0782,+61 2 8023 7600,Tel
tel_0783,92259224,Tel
tel_0784,+61 7 3844 1888,Tel
tel_0785,38783388,Tel
tel_0786,+61 3 9602 1640,Tel
tel_0787,+61 3 9077 9598,Tel
tel_0788,+61 3 5611 3330,Tel
tel_0789,+61 2 9300 8804,Tel
tel_0790,+61 2 9211 8900,Tel
tel_0791,+61 2 9939 8565,Tel
tel_0792,-32559724,Tel
tel_0793,+61 3 9329 9080,Tel
tel_0794,+61 3 9654 3369,Tel
tel_0795,+61 3 9650 6156,Tel
tel_0796,+61 3 9654 1245,Tel
tel_0797,+61 3 9602 4777,Tel
tel_0798,+61 3 9600 4546,Tel
tel_0799,-32520457,Tel
tel_0800,+61 7 3236 3742,Tel
tel_0801,+61 7 3256 1901,Tel
tel_0802,33100084,Tel
tel_0803,+61 7 3711 7637,Tel
